,Article
LEGIARTI000032226124,"Lorsque la souscription d'une assurance a été exigée par le prêteur et que l'emprunteur a souscrit une assurance auprès de l'assureur de son choix, celui-ci informe le prêteur de toute modification substantielle du contrat d'assurance."
LEGIARTI000032226120,"L'emprunteur peut toujours, à son initiative, rembourser par anticipation, en partie ou en totalité, le crédit qui lui a été consenti. Dans ce cas, les intérêts et frais afférents à la durée résiduelle du contrat de crédit ne sont pas dus. Aucune indemnité de remboursement anticipé ne peut être réclamée à l'emprunteur dans les cas suivants : 1° En cas d'autorisation de découvert ; 2° Si le remboursement anticipé a été effectué en exécution d'un contrat d'assurance destiné à garantir le remboursement du crédit ; 3° Si le remboursement anticipé intervient dans une période où le taux débiteur n'est pas fixe. Dans les autres cas, lorsque le montant du remboursement anticipé est supérieur à un seuil fixé par décret, le prêteur peut exiger une indemnité qui ne peut dépasser 1 % du montant du crédit faisant l'objet du remboursement anticipé si le délai entre le remboursement anticipé et la date de fin du contrat de crédit est supérieur à un an. Si le délai ne dépasse pas un an, l'indemnité ne peut pas dépasser 0,5 % du montant du crédit faisant l'objet d'un remboursement anticipé. En aucun cas l'indemnité éventuelle ne peut dépasser le montant des intérêts que l'emprunteur aurait payés durant la période comprise entre le remboursement anticipé et la date de fin du contrat de crédit convenue initialement. Aucune indemnité autre que celle mentionnée au présent article ni aucuns frais ne peuvent être mis à la charge de l'emprunteur en cas de remboursement par anticipation."
LEGIARTI000032226118,Les dispositions de l'article L. 312-34 ne s'appliquent pas aux opérations de location avec option d'achat.
LEGIARTI000048524336,"Les prêteurs disposent de politiques et de procédures adéquates les incitant à faire preuve d'une tolérance raisonnable avant d'engager une procédure d'exécution à l'encontre d'un emprunteur en difficulté et à lui proposer, s'il y a lieu, des mesures de renégociation tenant notamment compte de sa situation personnelle. Ces mesures peuvent être : a) Le refinancement total ou partiel du contrat de crédit ; b) La modification des conditions existantes d'un contrat de crédit, qui peut comprendre entre autres : i) La prolongation de la durée du contrat de crédit ; ii) La suspension de tout ou partie des versements du remboursement pendant une période donnée ; iii) La modification du taux d'intérêt ; iv) Le réaménagement de l'échéancier, notamment la réduction du montant des versements du remboursement ; v) Une remise de dette partielle et la consolidation de la dette."
LEGIARTI000035731409,"Dès le premier manquement de l'emprunteur à son obligation de rembourser, le prêteur informe celui-ci, sur support papier ou tout autre support durable des risques qu'il encourt au titre des articles L. 312-39 et L. 312-40 ainsi que, le cas échéant, au titre de l' article L. 141-3 du code des assurances . Cette alerte ne fait pas obstacle à ce que, si les difficultés de remboursement ne sont pas rapidement résolues, le prêteur puisse régler de manière temporaire et pour une durée fixée par lui la cotisation d'assurance du crédit pour lequel des impayés ont été constatés, afin de permettre le maintien de la couverture assurantielle."
LEGIARTI000032226110,"Lorsque la souscription d'une assurance a été exigée par le prêteur et que l'emprunteur a souscrit une assurance auprès de l'assureur de son choix, celui-ci informe le prêteur du non-paiement par l'emprunteur de sa prime d'assurance."
LEGIARTI000032226108,"Aucune indemnité ni aucuns frais autres que ceux mentionnés aux articles L. 312-39 et L. 312-40 ne peuvent être mis à la charge de l'emprunteur dans les cas de défaillance prévus par ces articles. Toutefois, le prêteur peut réclamer à l'emprunteur, en cas de défaillance de celui-ci, le remboursement des frais taxables qui lui ont été occasionnés par cette défaillance, à l'exclusion de tout remboursement forfaitaire de frais de recouvrement. En cas de défaillance de l'emprunteur, seuls les modes de réalisation du gage autorisés par les articles 2346 et 2347 du code civil sont ouverts aux créanciers gagistes, à l'exclusion du pacte commissoire prévu à l'article 2348 du même code qui est réputé non écrit."
LEGIARTI000032890824,"En cas de défaillance de l'emprunteur, le prêteur peut exiger le remboursement immédiat du capital restant dû, majoré des intérêts échus mais non payés. Jusqu'à la date du règlement effectif, les sommes restant dues produisent les intérêts de retard à un taux égal à celui du prêt. En outre, le prêteur peut demander à l'emprunteur défaillant une indemnité qui, dépendant de la durée restant à courir du contrat et sans préjudice de l'application de l' article 1231-5 du code civil , est fixée suivant un barème déterminé par décret."
LEGIARTI000032890843,"En cas de défaillance dans l'exécution par l'emprunteur d'un contrat de location assorti d'une promesse de vente ou d'un contrat de location-vente, le prêteur est en droit d'exiger, outre la restitution du bien et le paiement des loyers échus et non réglés, une indemnité qui, dépendant de la durée restant à courir du contrat et sans préjudice de l'application de l' article 1231-5 du code civil , est fixée suivant un barème déterminé par décret."
LEGIARTI000032226100,"Toute publicité, quel qu'en soit le support, qui porte sur une opération de crédit dont la durée est supérieure à trois mois et pour laquelle ne sont pas requis d'intérêts ou d'autres frais, indique le montant de l'escompte sur le prix d'achat éventuellement consenti en cas de paiement comptant et précise qui prend en charge le coût du crédit consenti gratuitement."
LEGIARTI000032226098,"Lorsqu'une opération de financement comporte une prise en charge totale ou partielle des frais, le vendeur ne peut demander à l'acheteur à crédit ou au locataire une somme d'argent supérieure au prix le plus bas effectivement pratiqué pour l'achat au comptant d'un article ou d'une prestation similaire, dans le même établissement de vente au détail, au cours des trente derniers jours précédant le début de la publicité ou de l'offre."
LEGIARTI000035731405,"Toute opération de crédit à titre onéreux proposée concomitamment à une opération de crédit gratuit ou promotionnel est conclue dans les termes d'un contrat de crédit distinct, sur support papier, ou tout autre support durable, conforme aux dispositions des articles L. 312-18 à L. 312-29 ."
LEGIARTI000034072754,Sont soumis aux dispositions de la présente section les contrats de crédit affecté mentionnés au 11° de l'article L. 311-1 .
LEGIARTI000032226090,"Chaque fois que le paiement du prix est acquitté, en tout ou partie, à l'aide d'un crédit, le contrat de vente ou de prestation de services le précise, quelle que soit l'identité du prêteur."
LEGIARTI000032226088,"Aucun engagement ne peut valablement être contracté par l'acheteur à l'égard du vendeur tant qu'il n'a pas accepté le contrat de crédit. Lorsque cette condition n'est pas remplie, le vendeur ne peut recevoir aucun paiement, sous quelque forme que ce soit, ni aucun dépôt."
LEGIARTI000032226086,"Tant que le prêteur ne l'a pas avisé de l'octroi du crédit, et tant que l'emprunteur peut exercer sa faculté de rétractation, le vendeur n'est pas tenu d'accomplir son obligation de livraison ou de fourniture. Toutefois, lorsque par une demande expresse rédigée, datée et signée de sa main même, l'acheteur sollicite la livraison ou la fourniture immédiate du bien ou de la prestation de services, le délai de rétractation ouvert à l'emprunteur par l'article L. 312-19 expire à la date de la livraison ou de la fourniture, sans pouvoir ni excéder quatorze jours ni être inférieur à trois jours. Toute livraison ou fourniture anticipée est à la charge du vendeur qui en supporte tous les frais et risques."
LEGIARTI000032226084,"Les obligations de l'emprunteur ne prennent effet qu'à compter de la livraison du bien ou de la fourniture de la prestation. En cas de contrat de vente ou de prestation de services à exécution successive, les obligations prennent effet à compter du début de la livraison ou de la fourniture et cessent en cas d'interruption de celle-ci."
LEGIARTI000032226082,Le vendeur ou le prestataire de services conserve une copie du contrat de crédit et la présente sur leur demande aux agents chargés du contrôle.
LEGIARTI000035731400,"Le vendeur ou le prestataire de services ne peut recevoir, de la part de l'acheteur, aucun paiement sous quelque forme que ce soit, ni aucun dépôt, en sus de la partie du prix que l'acheteur a accepté de payer au comptant, tant que le contrat relatif à l'opération de crédit n'est pas définitivement conclu. Si une autorisation de prélèvement sur compte bancaire est signée par l'acquéreur, sa validité et sa prise d'effet sont subordonnées à celles du contrat de vente. En cas de paiement d'une partie du prix au comptant, le vendeur ou prestataire de services fournit à l'acheteur un récépissé sur support papier ou tout autre support durable valant reçu et comportant la reproduction intégrale des dispositions des articles L. 312-52 , L. 312-53 et L. 341-10 ."
LEGIARTI000034072764,"En cas de vente ou de démarchage à domicile, le délai de rétractation est de quatorze jours calendaires révolus quelle que soit la date de livraison ou de fourniture du bien ou de la prestation de services. Aucun paiement comptant ne peut intervenir avant l'expiration de ce délai."
